time,temperature_2m_mean
2020-10-16,29.2
2020-10-17,29.6
2020-10-18,28.3
2020-10-19,27.9
2020-10-20,28.1
2020-10-21,27.7
2020-10-22,24.8
2020-10-23,24.7
2020-10-24,25.3
2020-10-25,26.3
2020-10-26,27.2
2020-10-27,26.8
2020-10-28,26.7
2020-10-29,27.7
2020-10-30,28.6
2020-10-31,26.0
2020-11-01,25.7
2020-11-02,26.2
2020-11-03,26.4
2020-11-04,25.4
2020-11-05,22.6
2020-11-06,21.6
2020-11-07,22.2
2020-11-08,23.6
2020-11-09,24.1
2020-11-10,24.5
2020-11-11,24.3
2020-11-12,24.5
2020-11-13,24.6
2020-11-14,23.9
2020-11-15,23.5
2020-11-16,23.4
2020-11-17,23.3
2020-11-18,23.3
2020-11-19,24.0
2020-11-20,24.6
2020-11-21,22.5
2020-11-22,20.6
2020-11-23,19.6
2020-11-24,20.1
2020-11-25,20.2
2020-11-26,21.1
2020-11-27,21.8
2020-11-28,21.7
2020-11-29,21.1
2020-11-30,20.6
2020-12-01,21.3
2020-12-02,22.2
2020-12-03,21.8
2020-12-04,21.9
2020-12-05,21.2
2020-12-06,21.0
2020-12-07,21.2
2020-12-08,20.8
2020-12-09,19.7
2020-12-10,20.1
2020-12-11,19.6
2020-12-12,19.3
2020-12-13,19.4
2020-12-14,19.4
2020-12-15,19.7
2020-12-16,19.5
2020-12-17,19.1
2020-12-18,16.6
2020-12-19,15.4
2020-12-20,15.9
2020-12-21,15.9
2020-12-22,16.6
2020-12-23,17.6
2020-12-24,18.1
2020-12-25,17.8
2020-12-26,16.8
2020-12-27,16.4
2020-12-28,16.7
2020-12-29,17.2
2020-12-30,17.7
2020-12-31,17.7
2021-01-01,17.5
2021-01-02,17.6
2021-01-03,18.3
2021-01-04,19.0
2021-01-05,19.6
2021-01-06,20.9
2021-01-07,21.4
2021-01-08,21.0
2021-01-09,20.8
2021-01-10,21.9
2021-01-11,21.7
2021-01-12,19.5
2021-01-13,19.0
2021-01-14,18.3
2021-01-15,17.0
2021-01-16,17.1
2021-01-17,16.8
2021-01-18,16.9
2021-01-19,18.8
2021-01-20,19.4
2021-01-21,17.9
2021-01-22,17.0
2021-01-23,17.6
2021-01-24,17.8
2021-01-25,18.1
2021-01-26,17.0
2021-01-27,15.8
2021-01-28,15.6
2021-01-29,17.0
2021-01-30,16.3
2021-01-31,14.0
2021-02-01,14.5
2021-02-02,15.6
2021-02-03,16.9
2021-02-04,18.2
2021-02-05,18.8
2021-02-06,20.2
2021-02-07,17.7
2021-02-08,18.7
2021-02-09,18.6
2021-02-10,19.3
2021-02-11,20.2
2021-02-12,20.0
2021-02-13,20.2
2021-02-14,20.7
2021-02-15,21.2
2021-02-16,21.3
2021-02-17,21.9
2021-02-18,22.0
2021-02-19,22.8
2021-02-20,21.4
2021-02-21,22.1
2021-02-22,21.6
2021-02-23,22.3
2021-02-24,23.5
2021-02-25,24.1
2021-02-26,25.2
2021-02-27,25.9
2021-02-28,26.0
2021-03-01,25.4
2021-03-02,25.7
2021-03-03,24.2
2021-03-04,24.9
2021-03-05,25.4
2021-03-06,26.4
2021-03-07,26.1
2021-03-08,26.1
2021-03-09,25.8
2021-03-10,26.5
2021-03-11,26.7
2021-03-12,26.9
2021-03-13,25.8
2021-03-14,24.2
2021-03-15,25.4
2021-03-16,26.0
2021-03-17,26.4
2021-03-18,26.5
2021-03-19,27.3
2021-03-20,27.9
2021-03-21,28.2
2021-03-22,28.2
2021-03-23,28.9
2021-03-24,29.1
2021-03-25,28.7
2021-03-26,28.6
2021-03-27,27.9
2021-03-28,28.7
2021-03-29,28.1
2021-03-30,29.7
2021-03-31,30.2
2021-04-01,30.1
2021-04-02,28.5
2021-04-03,28.4
2021-04-04,28.0
2021-04-05,27.7
